city_name,hub_name,hub_id,sku_group,category,av_dt,flag,instances
Kolkata,SNP,220,Kolkata Chicken Biryani,Ready to Cook,2025-02-11,48.0,48
Bangalore,KRP,108,Rohu - Bengali Cut (Without Head),Fish & Seafood,2026-01-06,39.0,39
Chandigarh,CDG,,Classic Eggs - Pack Of 30,Eggs,2025-07-13,48.0,48
Pune,VIM,,Lamb Curry Cut,Lamb & Goat,2025-11-08,48.0,48
Bangalore,TUB,1,Chicken Tangdi - Biryani Cut,Chicken,2025-05-31,48.0,48
Hyderabad,KCG,2487,Black Pomfret Whole,Fish & Seafood,2026-03-16,0.0,48
Mumbai,SEP,,Sardine Whole - Cleaned & Gutted,Fish & Seafood,2025-08-30,0.0,48
Chennai,TBM,112,Chicken 65,Ready to Cook,2025-01-28,48.0,48
Surat,VDR,1085,Chicken Chorizo Frankfurter,Cold Cuts,2025-02-25,0.0,48
Mumbai,TAR,2344,Chatpata Fish Fry Masala,Masalas,2025-05-16,46.0,46
NCR,RNG,2447,River Sol Fillet,Fish & Seafood,2025-06-26,46.0,46
Bangalore,KOM,8,Mutton Kidney,Lamb & Goat,2025-06-17,48.0,48
Pune,KNDH,,Chicken Mini Bites (Boneless),Chicken,2025-09-10,48.0,48
Mumbai,SEP,,Kajoli Whole (Cleaned),Fish & Seafood,2025-10-28,0.0,48
Kolkata,SNP,,Chicken Sausage with Thyme & Cheese,Cold Cuts,2025-08-18,0.0,48
NCR,DWK,,Chicken Gizzard,Chicken,2025-11-22,48.0,48
Hyderabad,SDB,,Mutton Fat,Lamb & Goat,2025-07-16,0.0,47
NCR,RNG,,Mourola - Whole,Fish & Seafood,2025-08-18,0.0,48
NCR,GRN,,Mutton Spleen,Lamb & Goat,2025-08-29,0.0,48
NCR,SUN,,Chicken Curry Cut,Chicken,2025-10-08,49.0,49
NCR,TLK,,"Parshe Whole, Cleaned",Fish & Seafood,2025-12-09,0.0,48
Hyderabad,Yousufguda,,Chicken Curry Cut with Skin - Small Pieces,Chicken,2025-07-17,46.0,46
Bangalore,KAM,2,Tilapia - Fillet,Fish & Seafood,2026-02-17,48.0,48
Hyderabad,Himayatnagar,25,Heat & Eat Chicken Hariyali Tikka,Heat & Eat,2025-06-15,48.0,48
Kolkata,LKT,541,Chicken Chatpata Pakora,Ready to Cook,2025-02-24,0.0,48
NCR,NOI,33,Mahi Mahi Cubes,Fish & Seafood,2025-06-18,30.0,48
NCR,GRN,129,Chicken Keema,Ready to Cook,2026-02-13,48.0,48
Hyderabad,ATP,209,Hilsa Curry Cut With Head,Fish & Seafood,2025-03-06,0.0,48
Mumbai,KHGR,89,Chicken Chatpata Pakora,Ready to Cook,2025-05-03,47.0,47
Kolkata,SDE,1412,Chunky Butter Chicken Spread (Single Serve),Spreads,2026-03-11,47.0,47
Pune,WGH,93,UnCrave Plant Based Chick~n Seekh Kebab,PBM,2025-01-03,0.0,48
NCR,LJN,,Prawns Small,Fish & Seafood,2025-09-07,45.0,48
Bangalore,CLT,46,Basa Fillet - (Platinum Grade),Fish & Seafood,2025-12-29,48.0,48
Vizag,MVP,183,Tilapia - Fillet,Fish & Seafood,2025-12-17,48.0,48
Hyderabad,ATP,209,Catla - Bengali Cut (Without Head),Fish & Seafood,2025-01-27,48.0,48
Mumbai,WDL,100,Butter Garlic Prawns,Ready to Cook,2026-02-09,47.0,47
Pune,KOTH,102,Chicken Leg Curry Cut,Chicken,2025-06-05,49.0,49
Bangalore,BEG,134,Crunchy Chicken Burger Patty with Jalapeno & Cheese,Ready to Cook,2026-02-15,48.0,48
NCR,SMG,122,Creamy Afghani Chicken,Ready to Cook,2025-03-26,29.0,46
Bangalore,KGP,2415,Seer Steaks,Fish & Seafood,2025-06-10,48.0,48
Bangalore,ECT,15,Murrel Fry cut,Fish & Seafood,2025-04-30,0.0,47
NCR,SMG,122,Oriental Basil Chicken,Ready to Cook,2025-04-17,13.0,48
NCR,HKM,2431,Chicken and Cheese Momo - 8 pc,Momos,2026-01-19,46.0,46
