city_name,hub_name,hub_id,sku_group,category,av_dt,flag,instances
Chennai,ECR,77,Chicken Liver,Chicken,2024-10-24,36.0,48
NCR,DWK,27,Mutton Kapura,Lamb & Goat,2024-11-03,48.0,48
Chennai,NVL,113,UnCrave Plant Based Singles Pack Kebab,PBM,2024-03-27,0.0,48
Mumbai,WRL,61,Malai Tikka,Kebab & Tandoor,2024-08-17,48.0,48
Mumbai,VSH,65,Crispy Chicken Nuggets,Ready to Cook,2024-07-04,22.0,48
Pune,KOTH,102,Goat Mince,Lamb & Goat,2024-04-11,48.0,48
Bangalore,CLT,46,Crispy chicken wings,Ready to Cook,2024-05-08,4.0,48
Hyderabad,ECL,377,Cooked wings,Ready to Cook,2024-05-04,48.0,48
Bangalore,JPN,6,Chilli Prawn,Heat & Eat,2024-11-26,25.0,48
Mumbai,KHGR,89,Goat Curry Cut,Lamb & Goat,2024-07-06,48.0,48
NCR,GRN,129,Angara Murgh Tikka,Kebab & Tandoor,2024-03-15,48.0,48
NCR,SMG,122,"Tiger Prawns, Cleaned and Deviened",Fish & Seafood,2024-05-06,0.0,48
Mumbai,BLP,504,Freshwater Scampi/Giant Prawns (Whole),Fish & Seafood,2024-07-26,0.0,48
Bangalore,ECT,15,Chunky Shawarma Chicken Spread,Spreads,2024-02-14,48.0,48
Bangalore,KRP,108,Piri Piri Cheese Chicken Burger Patty,Ready to Cook,2024-04-12,48.0,48
Mumbai,VSH,65,Vanjaram Meen Varuval (Seer Fry),Ready to Cook,2024-11-13,0.0,48
Mumbai,CHM,81,Brown Eggs,Eggs,2024-03-19,48.0,48
NCR,CCS,21,Brown Eggs,Eggs,2024-09-18,48.0,48
Mumbai,GDB,154,Chicken Mince,Chicken,2024-11-08,48.0,48
Mumbai,MLD,79,Chicken Garlic Lollipop,Ready to Cook,2024-02-17,48.0,48
NCR,NOI,33,Catla - Bengali Cut (Without Head),Fish & Seafood,2024-01-12,48.0,48
NCR,GRN,129,Brown Eggs,Eggs,2024-08-16,48.0,48
NCR,CCS,21,Mutton Kapura,Lamb & Goat,2024-06-05,0.0,48
Mumbai,KHR,66,Kachki Whole,Fish & Seafood,2024-12-07,0.0,48
NCR,NOI,33,Goan Prawn Curry - (Medium Prawns),Ready to Cook,2024-11-07,0.0,48
NCR,NOI,33,Mutton Paya,Lamb & Goat,2024-04-08,6.0,48
Hyderabad,SDB,142,Roast Chicken - Whole,Ready to Cook,2024-11-14,0.0,48
Mumbai,BOR,98,Freshwater Scampi/Giant Prawns (Whole),Fish & Seafood,2024-04-06,0.0,48
Mumbai,MUL,80,Mutton Haleem(Hyderabadi),Ready to Cook,2024-06-12,38.0,38
Bangalore,KAM,2,Chicken Chorizo Frankfurter,Cold Cuts,2024-07-09,0.0,48
NCR,NGC,125,Mutton Haleem(Hyderabadi),Ready to Cook,2024-08-14,0.0,48
Mumbai,DOM,105,Classic Eggs,Eggs,2024-10-17,48.0,48
Jaipur,MTM,156,Chicken Breast Boneless,Chicken,2024-09-19,48.0,48
Bangalore,BEL,7,Purani Dilli ki Mutton Seekh Kebab,Kebab & Tandoor,2024-12-31,5.0,48
NCR,GRN,129,Classic Chicken Masala,Masalas,2024-10-01,0.0,48
Chennai,ECR,77,Rohu - Bengali Cut (With Head),Fish & Seafood,2024-04-15,48.0,48
Mumbai,CHM,81,Chunky Shawarma Chicken Spread,Spreads,2024-01-26,48.0,48
Bangalore,HOODI,10,Chicken Galantine,Ready to Cook,2024-01-08,0.0,48
Hyderabad,Kukatpally,16,Catla - Bengali Cut (Without Head),Fish & Seafood,2024-07-28,48.0,48
NCR,FDB,51,Classic Chicken Breakfast Sausage,Cold Cuts,2024-01-15,23.0,48
Chennai,TNGR,95,Mahi Mahi Cubes,Fish & Seafood,2024-08-04,0.0,48
